username,password,email,name,creation_time,type
destroy_boys,hello,db@gmail.com,Destroy Boys,1721786598476,artistuser
history_user,hello,h@gmail.com,History,1721786615086,venueuser
fan_user,hello,f@gmail.com,Just A Fan,1721786633282,audienceuser
animal_collective,hello,ac@mail.com,Animal Collective,1721946828535,artistuser
MJH,123,abc,Me,1721865571559,artistuser
s_carpenter,hello,sc@gmail.com,Sabrina Carpenter,1723151747660,artistuser
a_big_fan,hello,fan@gmail.com,Tyler Steptoe,1723151870952,audienceuser
scotiabank_user,hello,sc@gmail.com,Scotiabank Arena,1723152168863,venueuser
budweiser_user,hello,bs@gmail.com,Budweiser Stadium,1723152235402,venueuser
drake_user,hello,drake@gmail.com,Drake,1723160884860,artistuser
tylerS,hello,tylerS@gmail.com,Tyler S,1723577636265,audienceuser
testuser57,hello,dad@ad,Test User 57,1723579582846,audienceuser
testuer58,hello,tyty@gmail.com,Test User 58,1723580874391,audienceuser
testuser59,hello,tyty@gmail.com,hello,1723582228234,audienceuser
testuser60,hello,tyty@gmail.com,Test User 60,1723582400069,audienceuser
tas,tas,tas@gmail.com,tas,1724208887260,audienceuser
